++++ Test string argument ++++
test: expr toto               , output: 'toto'  , status:  0
test: expr ''                 , output: ''      , status:  1
test: expr 0ab                , output: '0ab'   , status:  0

++++ Test integer argument ++++
test: expr 4                  , output: '4'     , status:  0
test: expr 0                  , output: '0'     , status:  1

++++ Test = operator ++++
test: expr 0 '=' 0            , output: '1'     , status:  0
test: expr 0 '=' ''           , output: '0'     , status:  1
test: expr 0 '=' abcd         , output: '0'     , status:  1
test: expr 0 '=' bcde         , output: '0'     , status:  1
test: expr 0 '=' 42           , output: '0'     , status:  1
test: expr 0 '=' -42          , output: '0'     , status:  1
test: expr 0 '=' 5            , output: '0'     , status:  1
test: expr '' '=' 0           , output: '0'     , status:  1
test: expr '' '=' ''          , output: '1'     , status:  0
test: expr '' '=' abcd        , output: '0'     , status:  1
test: expr '' '=' bcde        , output: '0'     , status:  1
test: expr '' '=' 42          , output: '0'     , status:  1
test: expr '' '=' -42         , output: '0'     , status:  1
test: expr '' '=' 5           , output: '0'     , status:  1
test: expr abcd '=' 0         , output: '0'     , status:  1
test: expr abcd '=' ''        , output: '0'     , status:  1
test: expr abcd '=' abcd      , output: '1'     , status:  0
test: expr abcd '=' bcde      , output: '0'     , status:  1
test: expr abcd '=' 42        , output: '0'     , status:  1
test: expr abcd '=' -42       , output: '0'     , status:  1
test: expr abcd '=' 5         , output: '0'     , status:  1
test: expr bcde '=' 0         , output: '0'     , status:  1
test: expr bcde '=' ''        , output: '0'     , status:  1
test: expr bcde '=' abcd      , output: '0'     , status:  1
test: expr bcde '=' bcde      , output: '1'     , status:  0
test: expr bcde '=' 42        , output: '0'     , status:  1
test: expr bcde '=' -42       , output: '0'     , status:  1
test: expr bcde '=' 5         , output: '0'     , status:  1
test: expr 42 '=' 0           , output: '0'     , status:  1
test: expr 42 '=' ''          , output: '0'     , status:  1
test: expr 42 '=' abcd        , output: '0'     , status:  1
test: expr 42 '=' bcde        , output: '0'     , status:  1
test: expr 42 '=' 42          , output: '1'     , status:  0
test: expr 42 '=' -42         , output: '0'     , status:  1
test: expr 42 '=' 5           , output: '0'     , status:  1
test: expr -42 '=' 0          , output: '0'     , status:  1
test: expr -42 '=' ''         , output: '0'     , status:  1
test: expr -42 '=' abcd       , output: '0'     , status:  1
test: expr -42 '=' bcde       , output: '0'     , status:  1
test: expr -42 '=' 42         , output: '0'     , status:  1
test: expr -42 '=' -42        , output: '1'     , status:  0
test: expr -42 '=' 5          , output: '0'     , status:  1
test: expr 5 '=' 0            , output: '0'     , status:  1
test: expr 5 '=' ''           , output: '0'     , status:  1
test: expr 5 '=' abcd         , output: '0'     , status:  1
test: expr 5 '=' bcde         , output: '0'     , status:  1
test: expr 5 '=' 42           , output: '0'     , status:  1
test: expr 5 '=' -42          , output: '0'     , status:  1
test: expr 5 '=' 5            , output: '1'     , status:  0

++++ Test >= operator ++++
test: expr 0 '>=' 0           , output: '1'     , status:  0
test: expr 0 '>=' ''          , output: '1'     , status:  0
test: expr 0 '>=' abcd        , output: '0'     , status:  1
test: expr 0 '>=' bcde        , output: '0'     , status:  1
test: expr 0 '>=' 42          , output: '0'     , status:  1
test: expr 0 '>=' -42         , output: '1'     , status:  0
